n_files,file_name,shape,fold,seed,score
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",2,1234,2.85453689891657
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",3,1234,2.6393195887971506
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",4,1234,2.761645206679383
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",5,1234,2.6203938965828164
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",6,1234,2.4309626067549845
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",7,1234,2.5708529024959526
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",8,1234,2.6391674399011813
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",9,1234,2.599569665917182
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",10,1234,2.661880662741017
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",11,1234,2.644431209185217
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",12,1234,2.870753491862245
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",13,1234,3.005217741506961
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",14,1234,2.676519679449396
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",15,1234,2.666178993149008
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",16,1234,2.6405892662608146
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",17,1234,2.733354202402422
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",18,1234,2.8334671262026188
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",19,1234,2.794722937104597
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",999,1234,2.6940329300287784
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",0,1234,2.939381938685412
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",1,1234,3.1009803989025073
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",2,1234,3.0028803276404443
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",3,1234,2.7522673426547875
